,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
60,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1
61,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0
62,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1
63,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1
64,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0
65,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
66,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
67,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0
68,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1
69,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1
70,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1
71,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1
72,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1
73,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1
74,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1
75,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1
76,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1
77,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
78,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
79,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
80,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0
81,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
82,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
83,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0
84,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
85,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
86,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
87,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
88,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
89,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
90,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
91,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
92,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
93,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
94,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
96,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
97,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
98,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
